capability_id,topic_id,topic_name,framework_sensitivity
CAO-01-001,TOPIC-01-001,"Accounting Function Strategy / Accounting Operating Model Design / Accounting Organization Design",M
CAO-01-002,TOPIC-01-001,"Accounting Function Strategy / Accounting Operating Model Design / Accounting Organization Design",M
CAO-01-003,TOPIC-01-001,"Accounting Function Strategy / Accounting Operating Model Design / Accounting Organization Design",M
CAO-01-004,TOPIC-01-002,"Role, Responsibility & Ownership Design / Accounting Maturity Assessment / Accounting Transformation Roadmap",M
CAO-01-005,TOPIC-01-002,"Role, Responsibility & Ownership Design / Accounting Maturity Assessment / Accounting Transformation Roadmap",M
CAO-01-006,TOPIC-01-002,"Role, Responsibility & Ownership Design / Accounting Maturity Assessment / Accounting Transformation Roadmap",M
CAO-01-007,TOPIC-01-003,"Close Transformation / Shared Services Design",L
CAO-01-008,TOPIC-01-003,"Close Transformation / Shared Services Design",L
CAO-01-009,TOPIC-01-004,"Outsourcing & Offshoring Accounting Design / Accounting Capacity & Resource Planning",M
CAO-01-010,TOPIC-01-004,"Outsourcing & Offshoring Accounting Design / Accounting Capacity & Resource Planning",M
CAO-01-011,TOPIC-01-005,"Accounting KPI & Service-Level Design / Accounting Governance Calendar",M
CAO-01-012,TOPIC-01-005,"Accounting KPI & Service-Level Design / Accounting Governance Calendar",M
CAO-01-013,TOPIC-01-006,"Accounting Change Management / Accounting Automation Opportunity Assessment",M
CAO-01-014,TOPIC-01-006,"Accounting Change Management / Accounting Automation Opportunity Assessment",M
CAO-01-015,TOPIC-01-007,"Accounting AI Governance / Growth & Scale Readiness Assessment",M
CAO-01-016,TOPIC-01-007,"Accounting AI Governance / Growth & Scale Readiness Assessment",M
CAO-01-017,TOPIC-01-008,"IPO / Public-Company Accounting Readiness / Accounting Function Benchmarking",J
CAO-01-018,TOPIC-01-008,"IPO / Public-Company Accounting Readiness / Accounting Function Benchmarking",J
CAO-02-001,TOPIC-02-001,"Month-End Close Design / Close Calendar Management / Close Dependency & Critical-Path Management",L
CAO-02-002,TOPIC-02-001,"Month-End Close Design / Close Calendar Management / Close Dependency & Critical-Path Management",L
CAO-02-003,TOPIC-02-001,"Month-End Close Design / Close Calendar Management / Close Dependency & Critical-Path Management",L
CAO-02-004,TOPIC-02-002,"Journal Entry Preparation / Journal Entry Review & Approval / Manual Journal Governance",L
CAO-02-005,TOPIC-02-002,"Journal Entry Preparation / Journal Entry Review & Approval / Manual Journal Governance",L
CAO-02-006,TOPIC-02-002,"Journal Entry Preparation / Journal Entry Review & Approval / Manual Journal Governance",L
CAO-02-007,TOPIC-02-003,"Recurring & Automated Journal Design / General Ledger Integrity Review",L
CAO-02-008,TOPIC-02-003,"Recurring & Automated Journal Design / General Ledger Integrity Review",L
CAO-02-009,TOPIC-02-004,"Trial Balance Review / Balance Sheet Reconciliations",L
CAO-02-010,TOPIC-02-004,"Trial Balance Review / Balance Sheet Reconciliations",L
CAO-02-011,TOPIC-02-005,"Reconciliation Governance / Account Certification",L
CAO-02-012,TOPIC-02-005,"Reconciliation Governance / Account Certification",L
CAO-02-013,TOPIC-02-006,"Suspense & Clearing Account Management / Cut-Off Accounting",M
CAO-02-014,TOPIC-02-006,"Suspense & Clearing Account Management / Cut-Off Accounting",M
CAO-02-015,TOPIC-02-007,"Accrual Accounting / Prepaid Expense Accounting",M
CAO-02-016,TOPIC-02-007,"Accrual Accounting / Prepaid Expense Accounting",M
CAO-02-017,TOPIC-02-008,"Close Variance & Flux Review / Post-Close Adjustments & Reopen Governance",L
CAO-02-018,TOPIC-02-008,"Close Variance & Flux Review / Post-Close Adjustments & Reopen Governance",L
CAO-02-019,TOPIC-02-009,"Prior-Period Error Identification & Correction / Opening Balance & Roll-Forward Integrity",L
CAO-02-020,TOPIC-02-009,"Prior-Period Error Identification & Correction / Opening Balance & Roll-Forward Integrity",L
CAO-02-021,TOPIC-02-010,"Close Evidence & Sign-Off / Fast-Close Assessment & Design",L
CAO-02-022,TOPIC-02-010,"Close Evidence & Sign-Off / Fast-Close Assessment & Design",L
CAO-03-001,TOPIC-03-001,"Revenue Contract Accounting Assessment / Performance Obligation Identification / Transaction Price Determination",H
CAO-03-002,TOPIC-03-001,"Revenue Contract Accounting Assessment / Performance Obligation Identification / Transaction Price Determination",H
CAO-03-003,TOPIC-03-001,"Revenue Contract Accounting Assessment / Performance Obligation Identification / Transaction Price Determination",H
CAO-03-004,TOPIC-03-002,"Variable Consideration Accounting / Transaction Price Allocation",M
CAO-03-005,TOPIC-03-002,"Variable Consideration Accounting / Transaction Price Allocation",M
CAO-03-006,TOPIC-03-003,"Revenue Recognition Timing / Contract Modification Accounting",H
CAO-03-007,TOPIC-03-003,"Revenue Recognition Timing / Contract Modification Accounting",H
CAO-03-008,TOPIC-03-004,"Principal-versus-Agent Assessment / Contract Asset & Liability Accounting",M
CAO-03-009,TOPIC-03-004,"Principal-versus-Agent Assessment / Contract Asset & Liability Accounting",M
CAO-03-010,TOPIC-03-005,"Deferred Revenue Accounting / Unbilled Revenue Accounting",H
CAO-03-011,TOPIC-03-005,"Deferred Revenue Accounting / Unbilled Revenue Accounting",H
CAO-03-012,TOPIC-03-006,"Contract Cost / Sales Commission Accounting / Billing Completeness & Accuracy",M
CAO-03-013,TOPIC-03-006,"Contract Cost / Sales Commission Accounting / Billing Completeness & Accuracy",M
CAO-03-014,TOPIC-03-007,"Credit Note, Refund & Rebate Accounting / Accounts Receivable Accounting",M
CAO-03-015,TOPIC-03-007,"Credit Note, Refund & Rebate Accounting / Accounts Receivable Accounting",M
CAO-03-016,TOPIC-03-008,"AR Aging / Expected Credit Loss / Doubtful Debt Allowance",H
CAO-03-017,TOPIC-03-008,"AR Aging / Expected Credit Loss / Doubtful Debt Allowance",H
CAO-03-018,TOPIC-03-009,"Bad Debt Write-Offs & Recoveries / Cash Application Accounting",H
CAO-03-019,TOPIC-03-009,"Bad Debt Write-Offs & Recoveries / Cash Application Accounting",H
CAO-03-020,TOPIC-03-010,"Unapplied Cash & Customer Credit Balances / Customer Dispute Accounting",M
CAO-03-021,TOPIC-03-010,"Unapplied Cash & Customer Credit Balances / Customer Dispute Accounting",M
CAO-03-022,TOPIC-03-011,"AR Subledger-to-GL Reconciliation / Revenue Subledger-to-GL Reconciliation",H
CAO-03-023,TOPIC-03-011,"AR Subledger-to-GL Reconciliation / Revenue Subledger-to-GL Reconciliation",H
CAO-03-024,TOPIC-03-012,"Revenue Disclosure Support / Revenue Process & Control Design",H
CAO-03-025,TOPIC-03-012,"Revenue Disclosure Support / Revenue Process & Control Design",H
CAO-04-001,TOPIC-04-001,"Fixed Asset Recognition / Fixed Asset Capitalization Policy Application / Asset Addition Accounting",H
CAO-04-002,TOPIC-04-001,"Fixed Asset Recognition / Fixed Asset Capitalization Policy Application / Asset Addition Accounting",H
CAO-04-003,TOPIC-04-001,"Fixed Asset Recognition / Fixed Asset Capitalization Policy Application / Asset Addition Accounting",H
CAO-04-004,TOPIC-04-002,"Depreciation Accounting / Useful Life & Residual Value Assessment / Asset Transfer, Disposal & Retirement",H
CAO-04-005,TOPIC-04-002,"Depreciation Accounting / Useful Life & Residual Value Assessment / Asset Transfer, Disposal & Retirement",H
CAO-04-006,TOPIC-04-002,"Depreciation Accounting / Useful Life & Residual Value Assessment / Asset Transfer, Disposal & Retirement",H
CAO-04-007,TOPIC-04-003,"Construction in Progress Accounting / Fixed Asset Register-to-GL Reconciliation / Capitalized Software",H
CAO-04-008,TOPIC-04-003,"Construction in Progress Accounting / Fixed Asset Register-to-GL Reconciliation / Capitalized Software",H
CAO-04-009,TOPIC-04-003,"Construction in Progress Accounting / Fixed Asset Register-to-GL Reconciliation / Capitalized Software",H
CAO-04-010,TOPIC-04-004,"Research-versus-Development Assessment / Internal Software Cost Allocation / Cloud Computing / Implementation Cost Accounting",H
