topic_id,artifact_count,qa_path_count,inventory_status,artifact_paths
TOPIC-01-001,0,0,NO_CANONICAL_ARTIFACTS,""
TOPIC-01-002,0,0,NO_CANONICAL_ARTIFACTS,""
TOPIC-01-003,0,0,NO_CANONICAL_ARTIFACTS,""
TOPIC-01-004,0,0,NO_CANONICAL_ARTIFACTS,""
TOPIC-01-005,0,0,NO_CANONICAL_ARTIFACTS,""
TOPIC-01-006,0,0,NO_CANONICAL_ARTIFACTS,""
TOPIC-01-007,0,0,NO_CANONICAL_ARTIFACTS,""
TOPIC-01-008,0,0,NO_CANONICAL_ARTIFACTS,""
TOPIC-02-001,7,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-001-close-architecture/README.md;knowledge/topics/TOPIC-02-001-close-architecture/factory.md;knowledge/topics/TOPIC-02-001-close-design/README.md;knowledge/topics/TOPIC-02-001-close-design/factory.md;knowledge/topics/TOPIC-02-001-close/README.md;knowledge/topics/TOPIC-02-001-month-end-close/README.md;knowledge/topics/TOPIC-02-001-month-end-close/knowledge-pack.md"
TOPIC-02-002,3,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-002-journal-governance/README.md;knowledge/topics/TOPIC-02-002-journal-governance/factory.md;knowledge/topics/TOPIC-02-002-journal-governance/knowledge-pack.md"
TOPIC-02-003,4,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-003-automated-journals-gl-integrity/factory.md;knowledge/topics/TOPIC-02-003-automated-journals-gl-integrity/knowledge-pack.md;knowledge/topics/TOPIC-02-003-recurring-journals-gl-integrity/README.md;knowledge/topics/TOPIC-02-003-recurring-journals-gl-integrity/knowledge-pack.md"
TOPIC-02-004,4,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-004-tb-balance-sheet-reconciliations/README.md;knowledge/topics/TOPIC-02-004-tb-balance-sheet-reconciliations/factory.md;knowledge/topics/TOPIC-02-004-tb-balance-sheet-reconciliations/knowledge-pack.md;knowledge/topics/TOPIC-02-004-trial-balance-reconciliations/knowledge-pack.md"
TOPIC-02-005,3,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-005-reconciliation-governance-certification/README.md;knowledge/topics/TOPIC-02-005-reconciliation-governance-certification/factory.md;knowledge/topics/TOPIC-02-005-reconciliation-governance-certification/knowledge-pack.md"
TOPIC-02-006,4,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-006-suspense-clearing-cutoff/README.md;knowledge/topics/TOPIC-02-006-suspense-clearing-cutoff/factory.md;knowledge/topics/TOPIC-02-006-suspense-clearing-cutoff/knowledge-pack.md;knowledge/topics/TOPIC-02-006-suspense-cutoff/README.md"
TOPIC-02-007,3,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-007-accruals-prepaids/README.md;knowledge/topics/TOPIC-02-007-accruals-prepaids/factory.md;knowledge/topics/TOPIC-02-007-accruals-prepayments/README.md"
TOPIC-02-008,3,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-008-close-variance-post-close/README.md;knowledge/topics/TOPIC-02-008-flux-post-close/README.md;knowledge/topics/TOPIC-02-008-flux-post-close/factory.md"
TOPIC-02-009,3,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-009-errors-opening-balances/README.md;knowledge/topics/TOPIC-02-009-errors-opening-balances/factory.md;knowledge/topics/TOPIC-02-009-prior-period-errors-opening-balances/README.md"
TOPIC-02-010,2,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-02-010-close-evidence-fast-close/README.md;knowledge/topics/TOPIC-02-010-close-evidence-fast-close/factory.md"
TOPIC-03-001,10,1,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-001-revenue-contract-assessment/README.md;knowledge/topics/TOPIC-03-001-revenue-contract-assessment/differences/framework-differences.md;knowledge/topics/TOPIC-03-001-revenue-contract-assessment/methods/cao-workflow.md;knowledge/topics/TOPIC-03-001-revenue-contract-assessment/practice/controls-audit-systems.md;knowledge/topics/TOPIC-03-001-revenue-contract-assessment/standards/frameworks.md;knowledge/topics/TOPIC-03-001-revenue-contract-model/README.md;knowledge/topics/TOPIC-03-001-revenue-contract-performance-obligations-transaction-price/README.md;knowledge/topics/TOPIC-03-001-revenue-contract-performance-obligations-transaction-price/sources-and-differences.md;knowledge/topics/TOPIC-03-001-revenue-contract-performance-obligations-transaction-price/tests.md;knowledge/topics/TOPIC-03-001-revenue-contract-performance-obligations/factory.md"
TOPIC-03-002,2,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-002-variable-consideration-allocation/README.md;knowledge/topics/TOPIC-03-002-variable-consideration-allocation/factory.md"
TOPIC-03-003,1,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-003-revenue-timing-modifications/README.md"
TOPIC-03-004,1,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-004-principal-agent-contract-balances/README.md"
TOPIC-03-005,1,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-005-deferred-unbilled-revenue/README.md"
TOPIC-03-006,1,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-006-contract-costs-billing/README.md"
TOPIC-03-007,1,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-007-credits-refunds-ar/README.md"
TOPIC-03-008,1,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-008-ecl-doubtful-debt/factory.md"
TOPIC-03-009,2,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-009-bad-debt-cash-application/factory.md;knowledge/topics/TOPIC-03-009-writeoffs-cash-application/README.md"
TOPIC-03-010,2,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-010-unapplied-cash-customer-credits-disputes/README.md;knowledge/topics/TOPIC-03-010-unapplied-cash-disputes/factory.md"
TOPIC-03-011,2,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-011-ar-revenue-reconciliations/factory.md;knowledge/topics/TOPIC-03-011-ar-revenue-subledger-reconciliations/README.md"
TOPIC-03-012,2,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-03-012-revenue-disclosure-controls/README.md;knowledge/topics/TOPIC-03-012-revenue-disclosure-controls/factory.md"
TOPIC-04-001,3,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-04-001-ppe-recognition-capitalization/README.md;knowledge/topics/TOPIC-04-001-ppe-recognition-capitalization/knowledge-pack.md;knowledge/topics/TOPIC-04-001-ppe-recognition/README.md"
TOPIC-04-002,2,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-04-002-depreciation-disposals/README.md;knowledge/topics/TOPIC-04-002-depreciation-useful-life-disposals/factory.md"
TOPIC-04-003,2,0,ARTIFACTS_PRESENT_UNVERIFIED,"knowledge/topics/TOPIC-04-003-cip-fa-reconciliation-capitalized-software/README.md;knowledge/topics/TOPIC-04-003-cip-fa-reconciliation-capitalized-software/knowledge-pack.md"
